,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,?21?,,???????????????????????????????,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Table21.,,"Participants, Average Days for Participation and Participation Rate in Sports by Sex and Frequency",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"??
???????",,,,,,???,"10???
????
(??)",???? (??),,,,Participants (1000),,,,"????
??
(???)",???? (?),,,,Participation rate (?),,,,"Sex
Kind of sports",,
,,,,,,,,,,,,,,,???,??,,,Frequency,,,,,???,??,,,Frequency,,,,,,
,,,,,,,,,,,,,,,,"??
????","??
????","??
10?19?
(????)","??
20?39?
(??
????)","??
40?99?
(????)","??
100?199?
(??
????) ","??
200??? 
(??
????) ",,,"??
????","??
????","??
10?19?
(????)","??
20?39?
(??
????)","??
40?99?
(????)","??
100?199?
(??
????) ","??
200??? 
(??
????) ",,,
,,,,,,,,,,,,,"Number of
samples","Population 
10 years 
and over
(1000)",Total,"1 to 4 days
a year",5 to 9,"10 to 19 
(1 day
a month)","20 to 39
(2 to 3 days
a month)","40 to 99 
(1 day
a week)","100 to 199
(2 to 3 days
a week)","200 days 
or more
(4 days or
more a week)","Average 
days for 
participation 
per year",Total,"1 to 4 days
a year",5 to 9,"10 to 19 
(1 day
a month)","20 to 39
(2 to 3 days
a month)","40 to 99 
(1 day
a week)","100 to 199
(2 to 3 days
a week)","200 days 
or more
(4 days or
more a week)",,,
,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
021  ,            ,            ,  ,,1,,??,,,,,1," 178,444"," 114,061"," 71,843",-,-,-,-,-,-,-,-,63.0,-,-,-,-,-,-,-,1,Both sexes,
021  ,            ,            ,  ,,2,,,??(??????????),,,,2,-,-," 8,122"," 2,708"," 1,283"," 1,279", 909, 604, 490, 674,46.2,7.1,2.4,1.1,1.1,0.8,0.5,0.4,0.6,2,Baseball (including playing catch),
021  ,            ,            ,  ,,3,,,??????,,,,3,-,-," 3,538"," 1,579", 516, 476, 331, 236, 162, 113,28.3,3.1,1.4,0.5,0.4,0.3,0.2,0.1,0.1,3,Softball,
021  ,            ,            ,  ,,4,,,??????,,,,4,-,-," 4,558"," 1,589", 593, 492, 385, 538, 429, 392,54.1,4.0,1.4,0.5,0.4,0.3,0.5,0.4,0.3,4,Volleyball,
021  ,            ,            ,  ,,5,,,????????,,,,5,-,-," 3,950"," 1,274", 481, 522, 357, 347, 331, 529,64.5,3.5,1.1,0.4,0.5,0.3,0.3,0.3,0.5,5,Basketball,
021  ,            ,            ,  ,,6,,,????(????????),,,,6,-,-," 6,375"," 1,810", 943, 944, 685, 720, 508, 651,56.7,5.6,1.6,0.8,0.8,0.6,0.6,0.4,0.6,6,Soccer (including futsal),
021  ,            ,            ,  ,,7,,,??,,,,7,-,-," 5,121"," 2,776", 600, 435, 296, 324, 271, 300,34.8,4.5,2.4,0.5,0.4,0.3,0.3,0.2,0.3,7,Table tennis,
021  ,            ,            ,  ,,8,,,???,,,,8,-,-," 4,750"," 1,594", 468, 422, 411, 696, 471, 596,67.1,4.2,1.4,0.4,0.4,0.4,0.6,0.4,0.5,8,Tennis,
021  ,            ,            ,  ,,9,,,??????,,,,9,-,-," 5,426"," 2,765", 804, 605, 383, 379, 207, 212,28.0,4.8,2.4,0.7,0.5,0.3,0.3,0.2,0.2,9,Badminton,
021  ,            ,            ,  ,,10,,,???(??????),,,,10,-,-," 9,240"," 2,574"," 1,669"," 1,864"," 1,443", 986, 433, 135,28.5,8.1,2.3,1.5,1.6,1.3,0.9,0.4,0.1,10,Golf (including golf practice range),
021  ,            ,            ,  ,,11,,,??,,,,11,-,-, 603, 119, 75, 83, 68, 72, 75, 75,73.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11,Judo,
021  ,            ,            ,  ,,12,,,??,,,,12,-,-, 779, 113, 62, 75, 82, 85, 148, 167,108.6,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12,Kendo,
021  ,            ,            ,  ,,13,,,??????,,,,13,-,-, 788, 312, 55, 79, 72, 70, 125, 47,54.3,0.7,0.3,0.0,0.1,0.1,0.1,0.1,0.0,13,Gate ball,
021  ,            ,            ,  ,,14,,,?????,,,,14,-,-," 14,621"," 11,341"," 1,738", 820, 247, 182, 77, 25,6.3,12.8,9.9,1.5,0.7,0.2,0.2,0.1,0.0,14,Bowling,
021  ,            ,            ,  ,,15,,,??,,,,15,-,-," 9,281"," 5,043"," 1,518"," 1,154", 805, 378, 158, 57,14.2,8.1,4.4,1.3,1.0,0.7,0.3,0.1,0.0,15,Fishing,
021  ,            ,            ,  ,,16,,,??,,,,16,-,-," 12,030"," 5,281"," 2,192"," 1,331", 872," 1,129", 706, 315,29.3,10.5,4.6,1.9,1.2,0.8,1.0,0.6,0.3,16,Swimming,
021  ,            ,            ,  ,,17,,,??????????,,,,17,-,-," 6,043"," 4,072"," 1,144", 419, 191, 70, 28, 8,6.9,5.3,3.6,1.0,0.4,0.2,0.1,0.0,0.0,17,"Skiing, snowboarding",
021  ,            ,            ,  ,,18,,,????????,,,,18,-,-," 10,457"," 7,122"," 1,663", 918, 373, 119, 34, 25,7.2,9.2,6.2,1.5,0.8,0.3,0.1,0.0,0.0,18,Mountain climbing or hiking,
021  ,            ,            ,  ,,19,,,??????,,,,19,-,-," 10,110"," 3,154"," 1,453"," 1,459"," 1,080"," 1,118", 826, 862,51.8,8.9,2.8,1.3,1.3,0.9,1.0,0.7,0.8,19,Cycling,
021  ,            ,            ,  ,,20,,,??????????,,,,20,-,-," 10,956"," 1,997"," 1,518"," 1,734"," 1,489"," 1,585"," 1,433"," 1,081",65.9,9.6,1.8,1.3,1.5,1.3,1.4,1.3,0.9,20,"Jogging, marathon",
021  ,            ,            ,  ,,21,,,???????????,,,,21,-,-," 40,172"," 3,465"," 2,881"," 4,551"," 5,035"," 6,757"," 8,111"," 8,826",111.5,35.2,3.0,2.5,4.0,4.4,5.9,7.1,7.7,21,Walking or light physical exercise,
021  ,            ,            ,  ,,22,,,????????????,,,,22,-,-," 11,243"," 1,335"," 1,021"," 1,549"," 1,527"," 2,148"," 2,304"," 1,179",81.8,9.9,1.2,0.9,1.4,1.3,1.9,2.0,1.0,22,Training with gym equipment,
021  ,            ,            ,  ,,23,,,???,,,,23,-,-," 6,696",-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,23,Other,
021  ,            ,            ,  ,,24,,?,,,,,24," 84,600"," 55,479"," 37,661",-,-,-,-,-,-,-,-,67.9,-,-,-,-,-,-,-,24,Male,
021  ,            ,            ,  ,,25,,,??(??????????),,,,25,-,-," 6,939"," 2,090"," 1,063"," 1,153", 819, 546, 469, 661,51.2,12.5,3.8,1.9,2.1,1.5,1.0,0.8,1.2,25,Baseball (including playing catch),
021  ,            ,            ,  ,,26,,,??????,,,,26,-,-," 2,873"," 1,300", 429, 416, 272, 200, 121, 49,23.8,5.2,2.3,0.8,0.8,0.5,0.4,0.2,0.1,26,Softball,
021  ,            ,            ,  ,,27,,,??????,,,,27,-,-," 1,881", 778, 258, 227, 157, 168, 119, 116,40.6,3.4,1.4,0.5,0.4,0.3,0.3,0.2,0.2,27,Volleyball,
021  ,            ,            ,  ,,28,,,????????,,,,28,-,-," 2,454", 775, 294, 349, 240, 246, 198, 294,60.9,4.4,1.4,0.5,0.6,0.4,0.4,0.4,0.5,28,Basketball,
021  ,            ,            ,  ,,29,,,????(????????),,,,29,-,-," 5,367"," 1,367", 797, 816, 600, 626, 455, 627,61.9,9.7,2.5,1.4,1.5,1.1,1.1,0.8,1.1,29,Soccer (including futsal),
021  ,            ,            ,  ,,30,,,??,,,,30,-,-," 2,706"," 1,408", 342, 249, 174, 172, 132, 167,35.3,4.9,2.5,0.6,0.4,0.3,0.3,0.2,0.3,30,Table tennis,
021  ,            ,            ,  ,,31,,,???,,,,31,-,-," 2,513", 783, 259, 254, 223, 383, 245, 316,67.6,4.5,1.4,0.5,0.5,0.4,0.7,0.4,0.6,31,Tennis,
021  ,            ,            ,  ,,32,,,??????,,,,32,-,-," 2,240"," 1,139", 333, 249, 151, 183, 91, 65,26.2,4.0,2.1,0.6,0.4,0.3,0.3,0.2,0.1,32,Badminton,
021  ,            ,            ,  ,,33,,,???(??????),,,,33,-,-," 7,593"," 1,909"," 1,411"," 1,590"," 1,266", 814, 373, 123,29.7,13.7,3.4,2.5,2.9,2.3,1.5,0.7,0.2,33,Golf (including golf practice range),
021  ,            ,            ,  ,,34,,,??,,,,34,-,-, 532, 104, 65, 75, 56, 68, 66, 66,73.2,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,34,Judo,
021  ,            ,            ,  ,,35,,,??,,,,35,-,-, 578, 72, 46, 61, 66, 75, 100, 120,106.3,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,35,Kendo,
021  ,            ,            ,  ,,36,,,??????,,,,36,-,-, 423, 177, 32, 47, 36, 38, 58, 23,49.0,0.8,0.3,0.1,0.1,0.1,0.1,0.1,0.0,36,Gate ball,
021  ,            ,            ,  ,,37,,,?????,,,,37,-,-," 8,384"," 6,198"," 1,139", 575, 184, 122, 52, 16,7.0,15.1,11.2,2.1,1.0,0.3,0.2,0.1,0.0,37,Bowling,
021  ,            ,            ,  ,,38,,,??,,,,38,-,-," 7,310"," 3,554"," 1,267"," 1,054", 743, 357, 153, 53,16.4,13.2,6.4,2.3,1.9,1.3,0.6,0.3,0.1,38,Fishing,
021  ,            ,            ,  ,,39,,,??,,,,39,-,-," 6,343"," 2,809"," 1,242", 783, 446, 551, 272, 151,25.9,11.4,5.1,2.2,1.4,0.8,1.0,0.5,0.3,39,Swimming,
021  ,            ,            ,  ,,40,,,??????????,,,,40,-,-," 3,723"," 2,426", 725, 297, 137, 50, 15, 6,7.4,6.7,4.4,1.3,0.5,0.2,0.1,0.0,0.0,40,"Skiing, snowboarding",
021  ,            ,            ,  ,,41,,,????????,,,,41,-,-," 5,342"," 3,499", 907, 532, 213, 68, 24, 17,8.1,9.6,6.3,1.6,1.0,0.4,0.1,0.0,0.0,41,Mountain climbing or hiking,
021  ,            ,            ,  ,,42,,,??????,,,,42,-,-," 5,904"," 1,634", 915, 926, 698, 730, 446, 476,50.9,10.6,2.9,1.6,1.7,1.3,1.3,0.8,0.9,42,Cycling,
021  ,            ,            ,  ,,43,,,??????????,,,,43,-,-," 7,078"," 1,088", 895," 1,125"," 1,024"," 1,128"," 1,035", 721,70.2,12.8,2.0,1.6,2.0,1.8,2.0,1.9,1.3,43,"Jogging, marathon",
021  ,            ,            ,  ,,44,,,???????????,,,,44,-,-," 17,237"," 1,446"," 1,217"," 1,997"," 2,127"," 2,768"," 3,377"," 4,099",115.0,31.1,2.6,2.2,3.6,3.8,5.0,6.1,7.4,44,Walking or light physical exercise,
021  ,            ,            ,  ,,45,,,????????????,,,,45,-,-," 5,769", 623, 520, 799, 789," 1,067"," 1,179", 708,86.3,10.4,1.1,0.9,1.4,1.4,1.9,2.1,1.3,45,Training with gym equipment,
021  ,            ,            ,  ,,46,,,???,,,,46,-,-," 2,914",-,-,-,-,-,-,-,-,5.3,-,-,-,-,-,-,-,46,Other,
021  ,            ,            ,  ,,47,,?,,,,,47," 93,844"," 58,582"," 34,181",-,-,-,-,-,-,-,-,58.3,-,-,-,-,-,-,-,47,Female,
021  ,            ,            ,  ,,48,,,??(??????????),,,,48,-,-," 1,183", 617, 220, 126, 90, 58, 21, 13,16.0,2.0,1.1,0.4,0.2,0.2,0.1,0.0,0.0,48,Baseball (including playing catch),
021  ,            ,            ,  ,,49,,,??????,,,,49,-,-, 665, 279, 87, 60, 59, 37, 41, 63,48.6,1.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,49,Softball,
021  ,            ,            ,  ,,50,,,??????,,,,50,-,-," 2,677", 811, 334, 265, 228, 370, 310, 276,63.6,4.6,1.4,0.6,0.5,0.4,0.6,0.5,0.5,50,Volleyball,
021  ,            ,            ,  ,,51,,,????????,,,,51,-,-," 1,496", 500, 188, 173, 117, 101, 134, 235,70.4,2.6,0.9,0.3,0.3,0.2,0.2,0.2,0.4,51,Basketball,
021  ,            ,            ,  ,,52,,,????(????????),,,,52,-,-," 1,008", 443, 146, 128, 86, 94, 52, 24,28.3,1.7,0.8,0.2,0.2,0.1,0.2,0.1,0.0,52,Soccer (including futsal),
021  ,            ,            ,  ,,53,,,??,,,,53,-,-," 2,415"," 1,368", 258, 186, 121, 152, 139, 134,34.2,4.1,2.3,0.4,0.3,0.2,0.3,0.2,0.2,53,Table tennis,
021  ,            ,            ,  ,,54,,,???,,,,54,-,-," 2,238", 811, 209, 168, 188, 313, 226, 280,66.6,3.8,1.4,0.4,0.3,0.3,0.5,0.4,0.5,54,Tennis,
021  ,            ,            ,  ,,55,,,??????,,,,55,-,-," 3,186"," 1,626", 471, 357, 232, 196, 117, 146,29.2,5.4,2.8,0.8,0.6,0.4,0.3,0.2,0.2,55,Badminton,
021  ,            ,            ,  ,,56,,,???(??????),,,,56,-,-," 1,646", 665, 258, 274, 178, 172, 60, 12,22.8,2.8,1.1,0.4,0.5,0.3,0.3,0.1,0.0,56,Golf (including golf practice range),
021  ,            ,            ,  ,,57,,,??,,,,57,-,-, 71, 15, 10, 8, 12, 3, 9, 9,71.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,Judo,
021  ,            ,            ,  ,,58,,,??,,,,58,-,-, 201, 41, 16, 14, 16, 10, 48, 47,114.9,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,58,Kendo,
021  ,            ,            ,  ,,59,,,??????,,,,59,-,-, 365, 135, 23, 32, 36, 32, 67, 25,60.6,0.6,0.2,0.0,0.1,0.1,0.1,0.1,0.0,59,Gate ball,
021  ,            ,            ,  ,,60,,,?????,,,,60,-,-," 6,237"," 5,143", 599, 245, 64, 60, 25, 9,5.4,10.6,8.8,1.0,0.4,0.1,0.1,0.0,0.0,60,Bowling,
021  ,            ,            ,  ,,61,,,??,,,,61,-,-," 1,971"," 1,489", 251, 101, 61, 21, 4, 4,6.2,3.4,2.5,0.4,0.2,0.1,0.0,0.0,0.0,61,Fishing,
021  ,            ,            ,  ,,62,,,??,,,,62,-,-," 5,687"," 2,472", 950, 547, 426, 578, 434, 164,33.2,9.7,4.2,1.6,0.9,0.7,1.0,0.7,0.3,62,Swimming,
