<TITLE>
The attendance rate for schools at every level by prefecture
<SUBTITLE> 
See PrefectureDataAll excel file
<EXCEL COLUMN RANGE>
See PrefectureDataAll excel file
<VECTOR LABELS>
hokkaido	
aomori	
iwate	
miyagi	
akita	
yamagata	
fukushima	
ibaraki	
tochigi	
gumma	
saitama	
chiba	
tokyo	
kanagawa	
niigata	
toyama	
ishikawa	
fukui	
yamanashi	
nagano	
gifu	
shizuoka	
aichi	
mie	
shiga	
kyoto	
osaka	
hyogo	
nara	
wakayama	
tottori	
shimane	
okayama	
hiroshima	
yamaguchi	
tokushima	
kagawa	
ehime	
kochi	
fukuoka	
saga	
nagasaki	
kumamoto	
oita	
miyazaki	
kagoshima	
okinawa	
<DATA>
290	-	11752	10909	8590	2319	135	68	67	45	44	18	635	6	12318	7810	4508	5556	4303	42	1211	137	70	67	129	0.2	3.4	46	48	47	239	3028	15772	4475	1121	6	430958	9277	10058	12145	9024	739	2382	257	131	126	243	5.1	7.2	41	422	4423	30042	2279	542	2905	5092	441	4651	65	33	32	22	857	15148	67
74	8	3386	3163	2174	989	38	19	19	13	13	5.4	168	-	3272	1802	1470	1449	1200	6	243	38	19	18	36	0.0	0.5	12	13	13	32	341	1586	1059	310	-	430958	1740	3181	3090	2487	145	458	65	33	32	62	1.4	1.1	10	43	418	2828	273	119	514	733	41	692	7.9	4.0	4.0	2.2	471	7898	33
78	3	3310	3091	2156	935	36	18	18	12	12	5.0	170	2	3235	1778	1457	1394	1172	3	219	36	19	18	35	0.0	0.6	12	13	12	31	337	1774	856	345	2	430958	1962	3131	3147	2523	211	413	65	33	32	61	1.8	1.1	10	79	640	3660	267	141	635	918	82	836	12	5.9	5.8	3.7	360	6254	26
95	3	5126	4573	3337	1236	62	31	30	21	20	9.5	212	3	4930	2753	2177	2320	1928	1	391	64	33	31	62	0.0	0.9	21	22	22	9	98	382	2530	398	11	430958	3296	4661	5102	4216	73	813	121	62	59	117	0.6	1.9	20	37	280	1357	1105	280	1424	2385	204	2181	33	17	16	13	362	7214	29
55	2	2457	2281	1545	736	27	13	13	8.9	9.1	4.0	122	1	2329	1381	948	1115	947	-	168	26	13	13	26	-	0.3	8.6	9.3	9.2	7	76	422	792	223	1	430958	1394	2187	2263	1894	44	325	47	24	23	45	0.4	0.7	7.0	10	98	621	224	90	433	663	60	603	7.2	3.7	3.5	2.2	254	5523	23
59	3	2854	2625	1842	783	32	16	16	11	11	4.7	103	3	2510	1408	1102	1269	1075	4	190	32	16	16	31	0.0	0.5	11	11	11	7	70	389	801	267	9	430958	1693	2527	2806	2297	106	403	58	30	28	55	1.1	0.9	9.0	30	239	1289	251	107	578	970	79	891	11	5.5	5.3	3.3	244	4682	21
106	5	4753	4365	2957	1408	55	28	27	19	18	8.0	238	-	4693	2723	1970	2238	1997	8	233	56	29	27	54	0.0	0.8	18	20	19	37	368	1634	1866	472	5	430958	2605	4596	4721	4103	215	403	98	50	48	93	2.0	1.6	15	55	481	2935	698	342	1322	2213	161	2052	25	13	12	9.3	316	5802	25
120	1	6463	5710	3996	1714	79	40	39	27	25	12	238	-	6192	3547	2645	2868	2368	2	498	84	43	41	77	0.0	2.1	28	28	28	1	12	6	3063	538	-	430958	3592	6566	6740	5588	50	1102	156	80	76	150	0.6	4.6	25	2	14	50	1375	363	1715	2670	173	2497	37	19	18	13	498	9722	48
76	-	4346	3754	2541	1213	54	28	27	18	17	8.8	172	2	4243	2352	1891	2054	1768	1	285	56	29	27	53	0.0	1.1	19	19	19	9	85	221	1955	379	1	430958	2475	4502	4424	3760	82	582	107	55	52	102	0.8	2.4	17	20	168	857	842	195	1405	2571	174	2397	30	15	14	8.2	362	6993	32
81	-	4291	3861	2765	1096	53	27	26	18	17	8.7	173	2	4210	2547	1663	1939	1684	1	254	57	29	28	55	0.0	0.9	19	19	19	11	129	817	1641	322	3	430958	2576	4385	4460	3937	37	486	108	55	53	104	0.4	1.6	17	18	198	1342	663	205	1130	1791	145	1646	21	11	10	5.9	420	8259	43
